PsaStationNumber,PsaStationName,PnaStation,PssStation,LogicalDisplayReference,RegionOfInterest,ScheduleDataFlag,ExModelRetentionFlag,DmsTransformFlag,AssetLabel,DistrictNumberRef,
1,HATHAWAY,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5726,1,
2,ALAMITOS,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5025,1,
4,INJECTION,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5709,1,
5,COLLEGE,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5763,1,
6,CLARK,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5769,1,
7,BROADWAY,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5768,1,
9,ALAMITOS_TAP,Yes,Yes,NULL,Inside,Yes,NULL,Yes,NULL,1,
10,NAPLES,No,Yes,NULL,Inside,Yes,NULL,Yes,5740,1,
11,STADIUM,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5796,1,
12,NORSEAL,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5871,1,
13,TEAM,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8808,4,
14,LA_PALMA,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5873,4,
15,TRASK,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5899,4,
16,SUNNYHILLS,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5840,4,
17,SHAWNEE,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5869,4,
18,MARION,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5866,4,
19,LAMPSON,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5870,4,
20,BARRE_TAP,Yes,Yes,NULL,Inside,Yes,NULL,Yes,NULL,4,
21,FULLERTON,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5822,4,
22,ELY,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5819,4,
23,BOLSA,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5807,4,
24,APOLLO,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5806,4,
25,KINDER,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5699,4,
26,BARRE,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5081,4,
27,GILBERT,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5833,4,
28,LA_MIRADA,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5834,9,
29,DEL_AMO,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5075,9,
