PsaStationNumber,PsaStationName,PnaStation,PssStation,LogicalDisplayReference,RegionOfInterest,ScheduleDataFlag,ExModelRetentionFlag,DmsTransformFlag,AssetLabel,DistrictNumberRef,
179,JERSEY,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5776,28,
180,NOLA,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5751,28,
184,SIGNAL_HILL,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5753,28,
185,SUNNYSIDE,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5785,28,
188,FREMONT,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5720,28,
193,ALON,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5701,28,
196,BULLIS,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5756,28,
198,LYNWOOD,No,Yes,NULL,Inside,Yes,NULL,Yes,5731,28,
199,CARSON,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5711,28,
203,FERNWOOD,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5749,28,
204,COMPTON,No,Yes,NULL,Inside,Yes,NULL,Yes,5767,28,
274,PHELAN,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8010,47,
275,ROADWAY,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8000,47,
276,SAVAGE,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8020,47,
280,HESPERIA,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8087,47,
286,AQUEDUCT,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8079,47,
287,APPLE_VALLEY,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8013,47,
291,COTTONWOOD,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8027,47,
337,YUCCA,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8022,10,
339,THORNHILL,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8004,10,
349,DEVERS,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5067,10,
352,CARODEAN,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8072,10,
354,EISENHOWER,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8098,10,
355,FARRELL,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8016,10,
357,GARNET,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8044,10,
